16:34:01.647 ERROR    logcat: hd[0]: Syan(3945): ________________ camera near move right ________________ 
16:34:01.861 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kRight 
16:34:01.862 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 1 -1 0x205b18
16:34:01.862 INFO     SMan: hd[0]: CameraJCCP: Move - 0 1 -1
16:34:01.862 INFO     SMan: hd[0]: CameraJCCP: Move - first start
16:34:01.862 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:01.862 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 01 ffffffff 
16:34:01.862 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 1 -1
16:34:01.862 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
16:34:01.862 INFO     SMan: hd[0]: SrcMan: 83 45 00 11 
16:34:01.862 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\000\021" } 
16:34:01.862 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
16:34:01.862 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
16:34:01.862 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
16:34:01.863 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\000\021" } 
16:34:01.863 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
16:34:01.863 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
16:34:01.863 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:01.863 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:01.869 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:01.869 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
