16:34:07.876 ERROR    logcat: hd[0]: Syan(3954): ________________ camera near move up ________________ 
16:34:08.058 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kUp 
16:34:08.058 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 2 -1 0x205b18
16:34:08.058 INFO     SMan: hd[0]: CameraJCCP: Move - 0 2 -1
16:34:08.058 INFO     SMan: hd[0]: CameraJCCP: Move - first start
16:34:08.059 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.059 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 02 ffffffff 
16:34:08.059 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 2 -1
16:34:08.059 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
16:34:08.059 INFO     SMan: hd[0]: SrcMan: 83 45 03 11 
16:34:08.059 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\003\021" } 
16:34:08.059 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
16:34:08.059 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
16:34:08.060 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
16:34:08.060 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\003\021" } 
16:34:08.060 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
16:34:08.061 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
16:34:08.061 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.061 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.066 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.067 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
16:34:08.067 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.067 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
16:34:08.067 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.067 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
16:34:08.067 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
16:34:08.068 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
16:34:08.068 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
16:34:08.068 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.068 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.068 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.068 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
16:34:08.068 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.068 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
16:34:08.068 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.068 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
16:34:08.068 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
16:34:08.068 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.069 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.069 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
16:34:08.069 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.069 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
16:34:08.069 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.069 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
16:34:08.069 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
16:34:08.069 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.070 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.070 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
16:34:08.070 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.071 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
16:34:08.071 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.071 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
16:34:08.071 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
16:34:08.071 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
16:34:08.071 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
16:34:08.071 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
16:34:08.071 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.071 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.209 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.209 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 02 96 
16:34:08.209 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 1 2 150
16:34:08.209 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - accelerate 
16:34:08.209 INFO     SMan: hd[0]: SrcMan: 83 45 03 13 
16:34:08.210 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\003\023" } 
16:34:08.210 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
16:34:08.210 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
16:34:08.210 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
16:34:08.210 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\003\023" } 
16:34:08.210 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
16:34:08.211 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
16:34:08.211 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.211 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.217 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.217 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
16:34:08.217 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.217 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
16:34:08.218 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.218 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
16:34:08.218 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
