16:34:14.081 ERROR    logcat: hd[0]: Syan(3963): ________________ camera near move down ________________ 
16:34:14.204 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kDown 
16:34:14.204 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 3 -1 0x205b18
16:34:14.204 INFO     SMan: hd[0]: CameraJCCP: Move - 0 3 -1
16:34:14.204 INFO     SMan: hd[0]: CameraJCCP: Move - first start
16:34:14.204 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:14.204 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 03 ffffffff 
16:34:14.204 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 3 -1
16:34:14.204 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
16:34:14.204 INFO     SMan: hd[0]: SrcMan: 83 45 04 11 
16:34:14.204 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\004\021" } 
16:34:14.205 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
16:34:14.205 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
16:34:14.205 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
16:34:14.205 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\004\021" } 
16:34:14.205 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
16:34:14.206 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
16:34:14.206 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:14.206 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:14.212 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:14.212 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
16:34:14.212 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:14.212 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
16:34:14.213 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:14.213 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
16:34:14.213 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
16:34:14.213 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
16:34:14.213 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
