16:34:20.301 ERROR    logcat: hd[0]: Syan(3972): ________________ camera near move zoom- ________________ 
16:34:20.442 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kZoomOut 
16:34:20.442 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 5 -1 0x205b18
16:34:20.442 INFO     SMan: hd[0]: CameraJCCP: Move - 0 5 -1
16:34:20.443 INFO     SMan: hd[0]: CameraJCCP: Move - first start
16:34:20.443 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:20.443 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 05 ffffffff 
16:34:20.443 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 5 -1
16:34:20.443 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
16:34:20.443 INFO     SMan: hd[0]: SrcMan: 83 45 0D 00 
16:34:20.443 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\r\000" } 
16:34:20.443 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
16:34:20.443 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
16:34:20.443 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
16:34:20.443 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\r\000" } 
16:34:20.444 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
16:34:20.444 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
16:34:20.444 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:20.444 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:20.450 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:20.450 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
16:34:20.450 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:20.451 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
16:34:20.451 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:20.451 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
16:34:20.451 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
16:34:20.451 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
16:34:20.451 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
16:34:20.451 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:20.451 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:20.451 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:20.451 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
16:34:20.452 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:20.452 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
16:34:20.452 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:20.452 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
16:34:20.452 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
16:34:20.452 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:20.453 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:20.453 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
16:34:20.453 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:20.453 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
16:34:20.453 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:20.453 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
16:34:20.453 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
16:34:20.453 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:20.453 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:20.453 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
16:34:20.454 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:20.454 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
16:34:20.454 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:20.454 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
16:34:20.454 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
16:34:20.454 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
16:34:20.454 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
16:34:20.454 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
16:34:20.454 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:20.454 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:20.593 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:20.593 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 05 96 
16:34:20.593 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 1 5 150
16:34:20.593 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - accelerate 
16:34:20.593 INFO     SMan: hd[0]: SrcMan: 83 45 0D 01 
16:34:20.594 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\r\001" } 
16:34:20.594 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
16:34:20.594 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
16:34:20.594 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
16:34:20.594 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\r\001" } 
16:34:20.594 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
16:34:20.595 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
16:34:20.595 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:20.595 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:20.601 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:20.601 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
16:34:20.601 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:20.601 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
16:34:20.602 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:20.602 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
16:34:20.602 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
16:34:20.602 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
16:34:20.602 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
16:34:20.602 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:20.602 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:20.602 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:20.602 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
16:34:20.602 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:20.602 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
16:34:20.602 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:20.602 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
16:34:20.602 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
16:34:20.602 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:20.603 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:20.603 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
16:34:20.603 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:20.603 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
16:34:20.603 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:20.603 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
