16:33:27.063 ERROR    logcat: hd[0]: Syan(3916): ________________ sleep ________________ 
16:33:27.249 INFO     PCon: hd[0]: PcThreads: 	PC received router or sleep msg
16:33:27.249 INFO     PCon: hd[0]: PcThreads: PC_SleepWakeReqCB: Received Sleep/Wake 1 change request message from process monitor
16:33:27.249 INFO     PCon: hd[0]: PcVideoOut: Enter PC_HandleSleepModeCB, sleep status = 1 sleep_mode= NoSignal env=MARS110
16:33:27.249 INFO     PCon: hd[0]: PcVideoOut: PC_HandleSleepModeCB: found mon1 with TI81XX!
16:33:27.249 INFO     PCon: hd[0]: PcVideoOut: CEC: Setting TI81XX monitor to SLEEP mode
16:33:27.249 INFO     PCon: hd[0]: PcCec: CEC: TI81xxCEC - Cec_Standby Sending Standby
16:33:27.253 DEBUG    SMan: hd[0]: DeSerializeSubsysSyncStateReq: Received event 4 Message from CeCon
16:33:27.253 DEBUG    SMan: hd[0]: SendSubsystemSyncEventRsp: pSubsystemSync 0x0x997a8, pMsg 0x0x13a128
16:33:27.253 DEBUG    SMan: hd[0]: SendSubsystemEventRsp: pSubsystem->subsysID CE:SourceMgr
16:33:27.255 INFO     SMan: hd[0]: stateMachine: LogTransition Transition for State Machine : SourceManSM, Current State : RunningState, Event Found : 103, Next State : SleepState
16:33:27.255 DEBUG    SMan: hd[0]: SubSystem : RunningStateExitHdlr
16:33:27.255 INFO     SMan: hd[0]: SrcMan: SrcMan : RunningStateExitHdlr
16:33:27.255 DEBUG    SMan: hd[0]: SubsystemStateNotify - subsysID CE:SourceMgr, prevState = 3, currentState = 4 
16:33:27.255 DEBUG    SMan: hd[0]: SubSystem : SleepStateEntryHdlr
16:33:27.255 INFO     SMan: hd[0]: SrcMan: SrcMan : SleepStateEntryHdlr
16:33:27.255 INFO     SMan: hd[0]: SrcMan: SleepStateEntryHdlr: Sending srcman message to put all cams in sleep
16:33:27.256 INFO     SMan: hd[0]: SrcMan: ProcessStateChange: Sending state change message to source manager, state = 9
16:33:27.256 INFO     SMan: hd[0]: SrcMan:  SrcMan SMStateChangeNtfyHdlr Context CE:SourceMgr
16:33:27.256 INFO     SMan: hd[0]: SrcMan: StateChangeNtfyHdlr: new_state: 9 
16:33:27.256 INFO     SMan: hd[0]: SrcMan: SourceManagerStateChanged: Putting all cams into sleep
16:33:27.256 INFO     SMan: hd[0]: SrcMan: CameraSetStandbyMode: Sending attached cam1, mode = 1
16:33:27.256 INFO     SMan: hd[0]: CameraBase: save current camera coordinates for wake
16:33:27.447 INFO     PCon: hd[0]: PcVideoOut: 	PC_HandleSleepModeCB found mon2 with 7510!
16:33:27.447 INFO     PCon: hd[0]: PcVideoOut: 	Setting 7510 to SLEEP mode
16:33:28.135 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:33:28.135 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:33:28.135 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:33:28.135 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 
16:33:28.135 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:33:28.135 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:33:28.135 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:33:28.135 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 
16:33:28.135 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:33:28.135 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:33:28.136 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:33:28.136 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 
16:33:28.136 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:33:28.136 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:33:28.136 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:33:28.136 DEBUG    SMan: hd[0]: CameraBase: In: Command: 0b 
16:33:28.136 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:33:28.136 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:33:28.136 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:33:28.136 DEBUG    SMan: hd[0]: CameraBase: In: Command: 06 
16:33:28.136 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:33:28.136 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
