22:30:23.334 ERROR    logcat: hd[0]: Syan(3973): ________________ camera near move left ________________ 
22:30:23.516 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kLeft 
22:30:23.516 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 0 -1 0x202920
22:30:23.516 INFO     SMan: hd[0]: CameraJCCP: Move - 0 0 -1
22:30:23.516 INFO     SMan: hd[0]: CameraJCCP: Move - first start
22:30:23.516 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:30:23.516 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 00 ffffffff 
22:30:23.516 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 0 -1
22:30:23.517 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
22:30:23.517 INFO     SMan: hd[0]: SrcMan: 83 45 01 11 
22:30:23.517 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\001\021" } 
22:30:23.517 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
22:30:23.517 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
22:30:23.517 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
22:30:23.517 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\001\021" } 
22:30:23.518 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
22:30:23.518 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
22:30:23.518 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:30:23.518 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:30:23.524 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:30:23.524 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
22:30:23.524 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:30:23.525 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
22:30:23.525 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:30:23.525 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
22:30:23.525 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
22:30:23.525 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
22:30:23.525 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
22:30:23.525 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:30:23.525 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:30:23.525 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:30:23.525 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
22:30:23.526 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:30:23.526 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
22:30:23.526 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:30:23.526 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
22:30:23.526 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
22:30:23.526 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:30:23.526 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:30:23.527 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
22:30:23.527 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:30:23.527 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
