22:31:29.696 ERROR    logcat: hd[0]: Syan(3991): ________________ camera near move up ________________ 
22:31:29.899 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kUp 
22:31:29.899 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 2 -1 0x202920
22:31:29.899 INFO     SMan: hd[0]: CameraJCCP: Move - 0 2 -1
22:31:29.899 INFO     SMan: hd[0]: CameraJCCP: Move - first start
22:31:29.900 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:31:29.900 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 02 ffffffff 
22:31:29.900 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 2 -1
22:31:29.900 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
22:31:29.900 INFO     SMan: hd[0]: SrcMan: 83 45 03 11 
22:31:29.900 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\003\021" } 
22:31:29.900 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
22:31:29.900 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
22:31:29.900 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
22:31:29.900 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\003\021" } 
22:31:29.901 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
22:31:29.901 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
22:31:29.901 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:31:29.901 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:31:29.907 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:31:29.907 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
22:31:29.908 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:31:29.908 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
22:31:29.908 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
