22:32:02.947 ERROR    logcat: hd[0]: Syan(4000): ________________ camera near move down ________________ 
22:32:03.067 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kDown 
22:32:03.067 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 3 -1 0x202920
22:32:03.067 INFO     SMan: hd[0]: CameraJCCP: Move - 0 3 -1
22:32:03.067 INFO     SMan: hd[0]: CameraJCCP: Move - first start
22:32:03.067 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:32:03.067 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 03 ffffffff 
22:32:03.067 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 3 -1
22:32:03.067 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
22:32:03.067 INFO     SMan: hd[0]: SrcMan: 83 45 04 11 
22:32:03.067 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\004\021" } 
22:32:03.068 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
22:32:03.068 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
22:32:03.068 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
22:32:03.068 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\004\021" } 
22:32:03.068 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
22:32:03.069 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
22:32:03.069 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:32:03.069 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
