22:32:36.136 ERROR    logcat: hd[0]: Syan(4009): ________________ camera near move zoom- ________________ 
22:32:36.260 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kZoomOut 
22:32:36.260 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 5 -1 0x202920
22:32:36.260 INFO     SMan: hd[0]: CameraJCCP: Move - 0 5 -1
22:32:36.260 INFO     SMan: hd[0]: CameraJCCP: Move - first start
22:32:36.260 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:32:36.260 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 05 ffffffff 
22:32:36.260 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 5 -1
22:32:36.260 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
22:32:36.260 INFO     SMan: hd[0]: SrcMan: 83 45 0D 00 
22:32:36.261 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\r\000" } 
22:32:36.261 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
22:32:36.261 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
22:32:36.261 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
22:32:36.261 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\r\000" } 
22:32:36.261 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
22:32:36.262 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
22:32:36.262 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:32:36.262 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:32:36.268 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:32:36.268 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
22:32:36.268 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:32:36.268 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
22:32:36.269 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:32:36.269 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
22:32:36.269 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
22:32:36.269 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
22:32:36.269 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
22:32:36.269 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:32:36.269 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:32:36.270 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:32:36.270 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
22:32:36.270 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:32:36.270 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
22:32:36.271 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:32:36.271 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
22:32:36.271 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:32:36.271 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
22:32:36.271 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
22:32:36.271 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:32:36.271 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:32:36.271 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
22:32:36.271 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:32:36.272 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
22:32:36.272 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:32:36.272 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
22:32:36.272 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
22:32:36.272 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:32:36.272 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:32:36.272 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
22:32:36.272 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:32:36.272 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
22:32:36.272 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
22:32:36.272 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
22:32:36.272 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
22:32:36.272 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
22:32:36.272 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:32:36.272 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:32:36.412 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:32:36.412 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 05 96 
22:32:36.412 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 1 5 150
22:32:36.412 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - accelerate 
22:32:36.412 INFO     SMan: hd[0]: SrcMan: 83 45 0D 01 
22:32:36.412 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\r\001" } 
22:32:36.412 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
22:32:36.412 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
22:32:36.413 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
22:32:36.413 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\r\001" } 
