22:33:09.322 ERROR    logcat: hd[0]: Syan(4018): ________________ camera near move zoom+ ________________ 
22:33:09.443 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kZoomIn 
22:33:09.443 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 4 -1 0x202920
22:33:09.443 INFO     SMan: hd[0]: CameraJCCP: Move - 0 4 -1
22:33:09.443 INFO     SMan: hd[0]: CameraJCCP: Move - first start
22:33:09.443 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.443 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 04 ffffffff 
22:33:09.443 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 4 -1
22:33:09.443 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
22:33:09.443 INFO     SMan: hd[0]: SrcMan: 83 45 0C 00 
22:33:09.443 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\014\000" } 
22:33:09.443 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
22:33:09.443 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
22:33:09.444 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
22:33:09.444 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\014\000" } 
22:33:09.444 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
22:33:09.445 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
22:33:09.445 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:33:09.445 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.451 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:33:09.451 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
22:33:09.451 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:33:09.451 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
22:33:09.452 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.452 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
22:33:09.452 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
22:33:09.452 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
22:33:09.452 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
22:33:09.452 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:33:09.452 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.452 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:33:09.452 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
22:33:09.452 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:33:09.453 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
22:33:09.453 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.453 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
22:33:09.453 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
22:33:09.453 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.453 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:33:09.453 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
22:33:09.453 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:33:09.453 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
22:33:09.454 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.454 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
22:33:09.454 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
22:33:09.454 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.454 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:33:09.454 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
22:33:09.454 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:33:09.454 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
22:33:09.455 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.455 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
22:33:09.455 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
22:33:09.455 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
22:33:09.455 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
22:33:09.455 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
22:33:09.455 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:33:09.455 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.595 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.595 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 04 96 
22:33:09.595 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 1 4 150
22:33:09.595 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - accelerate 
22:33:09.595 INFO     SMan: hd[0]: SrcMan: 83 45 0C 01 
22:33:09.595 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\014\001" } 
22:33:09.595 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
22:33:09.595 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
22:33:09.596 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
22:33:09.596 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\014\001" } 
22:33:09.596 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
22:33:09.596 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
22:33:09.596 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:33:09.596 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.602 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:33:09.602 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
22:33:09.603 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:33:09.603 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
22:33:09.603 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.603 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
22:33:09.603 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
22:33:09.603 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
22:33:09.603 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
22:33:09.603 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:33:09.603 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.603 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:33:09.604 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
22:33:09.604 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:33:09.604 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
22:33:09.604 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.604 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
22:33:09.604 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
22:33:09.604 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.604 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:33:09.605 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
22:33:09.605 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:33:09.605 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
22:33:09.605 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.605 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
22:33:09.605 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
22:33:09.605 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.606 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:33:09.606 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
22:33:09.606 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:33:09.606 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
22:33:09.606 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.606 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
22:33:09.606 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
22:33:09.606 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
22:33:09.606 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
22:33:09.606 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
22:33:09.606 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:33:09.606 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.745 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.745 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 04 96 
22:33:09.745 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 1 4 150
22:33:09.745 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - accelerate 
22:33:09.745 INFO     SMan: hd[0]: SrcMan: 83 45 0C 02 
22:33:09.745 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\014\002" } 
22:33:09.745 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
22:33:09.745 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
22:33:09.745 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
22:33:09.746 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\014\002" } 
22:33:09.746 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
22:33:09.746 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
22:33:09.746 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:33:09.746 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.752 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:33:09.752 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
22:33:09.752 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:33:09.752 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
22:33:09.753 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.753 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
22:33:09.753 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
22:33:09.753 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
22:33:09.753 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
22:33:09.753 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:33:09.753 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.753 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:33:09.754 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
22:33:09.754 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:33:09.754 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
22:33:09.754 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.754 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
22:33:09.754 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
22:33:09.754 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.754 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:33:09.754 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
22:33:09.755 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:33:09.755 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
22:33:09.755 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.755 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
22:33:09.755 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
22:33:09.755 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.755 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:33:09.755 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
22:33:09.756 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:33:09.756 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
22:33:09.756 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.756 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
22:33:09.756 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
22:33:09.756 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
22:33:09.756 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
22:33:09.756 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
22:33:09.756 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:33:09.756 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:33:09.895 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:33:09.895 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 04 96 
22:33:09.895 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 1 4 150
22:33:09.895 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - accelerate 
22:33:09.895 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Periodic Timer Stopped
22:33:09.895 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:33:09.895 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
