22:32:47.195 ERROR    logcat: hd[0]: Syan(4012): ________________ camera near move stop ________________ 
22:32:47.316 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStop direction: kAll 
22:32:47.316 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 2 8 -1 0x202920
22:32:47.316 INFO     SMan: hd[0]: CameraJCCP: Move - 2 8 -1
22:32:47.316 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:32:47.316 DEBUG    SMan: hd[0]: CameraBase: In: Command: 02 08 ffffffff 
22:32:47.316 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 2 8 -1
22:32:47.316 INFO     SMan: hd[0]: SrcMan: 82 45 0E 
22:32:47.317 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\202E\016" } 
22:32:47.317 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
22:32:47.317 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
22:32:47.317 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
22:32:47.317 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\202E\016" } 
22:32:47.317 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
22:32:47.318 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
22:32:47.318 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:32:47.318 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:32:47.322 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:32:47.323 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
22:32:47.323 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:32:47.323 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
