22:27:05.882 ERROR    logcat: hd[0]: Syan(3936): ________________ sleep ________________ 
22:27:06.013 INFO     PCon: hd[0]: PcThreads: 	PC received router or sleep msg
22:27:06.013 INFO     PCon: hd[0]: PcThreads: PC_SleepWakeReqCB: Received Sleep/Wake 1 change request message from process monitor
22:27:06.013 INFO     PCon: hd[0]: PcVideoOut: Enter PC_HandleSleepModeCB, sleep status = 1 sleep_mode= NoSignal env=MARS110
22:27:06.013 INFO     PCon: hd[0]: PcVideoOut: PC_HandleSleepModeCB: found mon1 with TI81XX!
22:27:06.013 INFO     PCon: hd[0]: PcVideoOut: CEC: Setting TI81XX monitor to SLEEP mode
22:27:06.013 INFO     PCon: hd[0]: PcCec: CEC: TI81xxCEC - Cec_Standby Sending Standby
22:27:06.017 DEBUG    SMan: hd[0]: DeSerializeSubsysSyncStateReq: Received event 4 Message from CeCon
22:27:06.017 DEBUG    SMan: hd[0]: SendSubsystemSyncEventRsp: pSubsystemSync 0x0x997d8, pMsg 0x0x13a158
22:27:06.017 DEBUG    SMan: hd[0]: SendSubsystemEventRsp: pSubsystem->subsysID CE:SourceMgr
22:27:06.019 INFO     SMan: hd[0]: stateMachine: LogTransition Transition for State Machine : SourceManSM, Current State : RunningState, Event Found : 103, Next State : SleepState
22:27:06.019 DEBUG    SMan: hd[0]: SubSystem : RunningStateExitHdlr
22:27:06.019 INFO     SMan: hd[0]: SrcMan: SrcMan : RunningStateExitHdlr
22:27:06.019 DEBUG    SMan: hd[0]: SubsystemStateNotify - subsysID CE:SourceMgr, prevState = 3, currentState = 4 
22:27:06.019 DEBUG    SMan: hd[0]: SubSystem : SleepStateEntryHdlr
22:27:06.019 INFO     SMan: hd[0]: SrcMan: SrcMan : SleepStateEntryHdlr
22:27:06.019 INFO     SMan: hd[0]: SrcMan: SleepStateEntryHdlr: Sending srcman message to put all cams in sleep
22:27:06.019 INFO     SMan: hd[0]: SrcMan: ProcessStateChange: Sending state change message to source manager, state = 9
22:27:06.019 INFO     SMan: hd[0]: SrcMan:  SrcMan SMStateChangeNtfyHdlr Context CE:SourceMgr
22:27:06.019 INFO     SMan: hd[0]: SrcMan: StateChangeNtfyHdlr: new_state: 9 
22:27:06.019 INFO     SMan: hd[0]: SrcMan: SourceManagerStateChanged: Putting all cams into sleep
22:27:06.092 INFO     SMan: hd[0]: SrcMan: DiscoverCamera: Not RabbitEye @ -1299589524, Port 1
22:27:06.092 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:27:06.092 DEBUG    SMan: hd[0]: CameraBase: In: Command: 
22:27:06.093 DEBUG    SMan: hd[0]: CameraBase: save wake preset position to Port
22:27:06.093 INFO     SMan: hd[0]: SrcMan: DiscoverCamera: Detecting EagleEyeProd @ -1299589523, Port 1
22:27:06.095 INFO     SMan: hd[0]: CameraEagleEyeProd: InitEEPTimer: Info: Init Eagle Eye Producer timer 
22:27:06.095 DEBUG    SMan: hd[0]: CameraBase: SM: CameraCommandLoop: Camera thread started
22:27:06.095 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:27:06.095 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:27:06.095 INFO     SMan: hd[0]: CameraEagleEyeProd: DiscoverCamera: Info: Attempt to discover Eagle Eye Producer on port(1)
22:27:06.095 INFO     SMan: hd[0]: SrcMan: SetSerialProperty: PortNear component id cam1 controller 0
22:27:06.095 INFO     SMan: hd[0]: SrcMan: SetSerialProperty: SetSerialProperty, local port controller 
22:27:06.095 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
22:27:06.211 INFO     PCon: hd[0]: PcVideoOut: 	PC_HandleSleepModeCB found mon2 with 7510!
22:27:06.211 INFO     PCon: hd[0]: PcVideoOut: 	Setting 7510 to SLEEP mode
22:27:06.224 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
22:27:06.225 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_properties { baud_rate: 9600 parity: PARITY_EVEN } 
