12:25:18.572 ERROR    logcat: hd[0]: Syan(5061): ________________ camera near move right ________________ 
12:25:18.733 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kRight 
12:25:18.733 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 1 -1 0x232480
12:25:18.733 INFO     SMan: hd[0]: CameraJCCP: Move - 0 1 -1
12:25:18.733 INFO     SMan: hd[0]: CameraJCCP: Move - first start
12:25:18.733 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:25:18.733 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 01 ffffffff 
12:25:18.733 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 1 -1
12:25:18.734 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
12:25:18.734 INFO     SMan: hd[0]: SrcMan: 83 45 00 11 
12:25:18.734 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\000\021" } 
12:25:18.734 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
12:25:18.734 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
12:25:18.734 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
12:25:18.734 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\000\021" } 
12:25:18.735 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
12:25:18.735 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
12:25:18.735 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:25:18.735 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:25:18.741 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:25:18.741 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
12:25:18.741 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:25:18.741 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
12:25:18.742 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:25:18.742 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
12:25:18.742 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
12:25:18.742 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
12:25:18.742 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
12:25:18.742 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:25:18.742 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:25:18.742 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:25:18.742 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
12:25:18.742 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:25:18.742 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
12:25:18.743 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:25:18.743 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
12:25:18.743 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
12:25:18.743 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:25:18.743 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:25:18.743 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
12:25:18.743 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:25:18.743 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
12:25:18.744 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:25:18.744 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
12:25:18.744 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
12:25:18.744 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:25:18.744 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:25:18.744 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
12:25:18.744 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:25:18.745 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
12:25:18.745 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:25:18.745 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
12:25:18.745 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
12:25:18.745 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
12:25:18.745 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
12:25:18.745 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
12:25:18.745 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:25:18.745 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:25:18.884 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:25:18.884 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 01 96 
12:25:18.884 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 1 1 150
12:25:18.884 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - accelerate 
12:25:18.884 INFO     SMan: hd[0]: SrcMan: 83 45 00 13 
12:25:18.884 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\000\023" } 
12:25:18.884 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
12:25:18.884 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
12:25:18.885 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
12:25:18.885 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\000\023" } 
