12:25:51.781 ERROR    logcat: hd[0]: Syan(5070): ________________ camera near move left ________________ 
12:25:51.896 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kLeft 
12:25:51.896 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 0 -1 0x232480
12:25:51.896 INFO     SMan: hd[0]: CameraJCCP: Move - 0 0 -1
12:25:51.896 INFO     SMan: hd[0]: CameraJCCP: Move - first start
12:25:51.896 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:25:51.896 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 00 ffffffff 
12:25:51.896 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 0 -1
12:25:51.896 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
12:25:51.896 INFO     SMan: hd[0]: SrcMan: 83 45 01 11 
12:25:51.896 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\001\021" } 
12:25:51.897 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
12:25:51.897 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
12:25:51.897 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
12:25:51.897 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\001\021" } 
12:25:51.897 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
12:25:51.898 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
12:25:51.898 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:25:51.898 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:25:51.904 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:25:51.904 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
12:25:51.904 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:25:51.905 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
12:25:51.905 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:25:51.905 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
12:25:51.905 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:25:51.905 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
12:25:51.905 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
12:25:51.905 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
12:25:51.905 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
12:25:51.905 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:25:51.905 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:25:51.906 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:25:51.906 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
12:25:51.906 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:25:51.906 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
12:25:51.906 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:25:51.906 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
12:25:51.906 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
12:25:51.906 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:25:51.907 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:25:51.907 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
12:25:51.907 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:25:51.907 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
12:25:51.907 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:25:51.907 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
12:25:51.907 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
12:25:51.907 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:25:51.907 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:25:51.908 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
12:25:51.908 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:25:51.908 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
12:25:51.908 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
12:25:51.908 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
12:25:51.908 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
