12:26:58.094 ERROR    logcat: hd[0]: Syan(5088): ________________ camera near move up ________________ 
12:26:58.216 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kUp 
12:26:58.216 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 2 -1 0x232480
12:26:58.216 INFO     SMan: hd[0]: CameraJCCP: Move - 0 2 -1
12:26:58.216 INFO     SMan: hd[0]: CameraJCCP: Move - first start
12:26:58.216 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:26:58.216 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 02 ffffffff 
12:26:58.216 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 2 -1
12:26:58.216 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
12:26:58.216 INFO     SMan: hd[0]: SrcMan: 83 45 03 11 
12:26:58.216 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\003\021" } 
12:26:58.216 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
12:26:58.217 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
12:26:58.217 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
12:26:58.217 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\003\021" } 
12:26:58.217 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
12:26:58.218 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
12:26:58.218 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:26:58.218 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:26:58.224 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:26:58.224 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
12:26:58.224 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:26:58.224 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
12:26:58.225 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:26:58.225 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
