12:30:50.383 ERROR    logcat: hd[0]: Syan(5152): ________________ camera near move zoom+ ________________ 
12:30:50.511 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kZoomIn 
12:30:50.511 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 4 -1 0x232480
12:30:50.511 INFO     SMan: hd[0]: CameraJCCP: Move - 0 4 -1
12:30:50.511 INFO     SMan: hd[0]: CameraJCCP: Move - first start
12:30:50.511 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:30:50.511 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 04 ffffffff 
12:30:50.511 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 4 -1
12:30:50.511 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
12:30:50.511 INFO     SMan: hd[0]: SrcMan: 83 45 0C 00 
12:30:50.511 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\014\000" } 
12:30:50.511 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
12:30:50.511 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
12:30:50.511 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
12:30:50.512 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\014\000" } 
12:30:50.512 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
12:30:50.513 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
12:30:50.513 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:30:50.513 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:30:50.518 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:30:50.518 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
12:30:50.519 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:30:50.519 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
12:30:50.519 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:30:50.519 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
12:30:50.520 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
12:30:50.520 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
12:30:50.520 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
12:30:50.520 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:30:50.520 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:30:50.520 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:30:50.520 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
12:30:50.520 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:30:50.521 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
12:30:50.521 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:30:50.521 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
12:30:50.521 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:30:50.521 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
12:30:50.521 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
12:30:50.521 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:30:50.521 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:30:50.521 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
12:30:50.522 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:30:50.522 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
12:30:50.522 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
12:30:50.522 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:30:50.522 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:30:50.522 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
12:30:50.522 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:30:50.522 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
12:30:50.523 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:30:50.523 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
12:30:50.523 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
12:30:50.523 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
12:30:50.523 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
12:30:50.523 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
12:30:50.523 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:30:50.523 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:30:50.663 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:30:50.663 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 04 96 
12:30:50.663 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 1 4 150
12:30:50.663 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - accelerate 
12:30:50.663 INFO     SMan: hd[0]: SrcMan: 83 45 0C 01 
12:30:50.663 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\014\001" } 
12:30:50.663 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
12:30:50.663 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
12:30:50.664 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
12:30:50.664 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\014\001" } 
12:30:50.664 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
12:30:50.664 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
12:30:50.664 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:30:50.664 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:30:50.670 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:30:50.670 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
12:30:50.670 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:30:50.670 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
12:30:50.671 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:30:50.671 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
12:30:50.671 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
12:30:50.671 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
12:30:50.671 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
12:30:50.671 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:30:50.671 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:30:50.671 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:30:50.671 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
12:30:50.671 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:30:50.672 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
12:30:50.672 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:30:50.672 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
12:30:50.672 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
12:30:50.672 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:30:50.672 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:30:50.672 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
12:30:50.673 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:30:50.673 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
12:30:50.673 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:30:50.673 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
12:30:50.673 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
