18:15:12.921 ERROR    logcat: hd[0]: Syan(4606): ________________ calibrate ________________ 
18:15:14.317 INFO     SMan: hd[0]: SrcMan: WBCalibrateReqHdlr: source_id: 1 
18:15:14.317 INFO     SMan: hd[0]: SrcMan: WBCalibrate: Error getting Red Gain from camera
18:15:14.317 INFO     SMan: hd[0]: SrcMan: WBCalibrate: Error getting Blue Gain from camera
18:15:14.317 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:15:14.317 DEBUG    SMan: hd[0]: CameraBase: In: Command: 
18:15:14.317 INFO     SMan: hd[0]: CameraJCCP: composeCalibrateCmd: JCCP camera start white balance calibrate
18:15:14.317 INFO     SMan: hd[0]: CameraJCCP: Send 3 bytes: 82 45 17 
18:15:14.317 INFO     SMan: hd[0]: SrcMan: 82 45 17 
18:15:14.317 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\202E\027" } 
18:15:14.317 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
18:15:14.317 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
18:15:14.317 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
18:15:14.318 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\202E\027" } 
18:15:14.318 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
18:15:14.319 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
18:15:14.319 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:15:14.319 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:15:14.323 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:15:14.324 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
18:15:14.324 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:15:14.324 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
18:15:14.324 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:15:14.325 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
18:15:14.325 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
18:15:14.325 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
18:15:14.325 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
18:15:14.325 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:15:14.325 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:15:14.325 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:15:14.325 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
